"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP","gene_name","synonyms","gene_product","COG","regulator","uniprot","start","end","strand","essential","core_genome","iML1515","oxidizeME","DGF_strain","MS57","pseudogene","y_ome","k_eff","schmidt_prot_med","heckmann_prot_med","proteomics","p1k","p1k_ctrl_log_tpm","p1k_median_log_tpm","p1k_mad_log_tpm","in_iM","length"
"13","b0013",0,5.11875844517445,0.711210915818524,1.60988402009135,1.61949869790732,1.21175290495902,2.03076046902401,0.819007564064989,6.78168334766684,4.55351451838833,0.209198862076586,0.0464177598385469,-0.124047856918169,0.835258772736693,0.787781835103392,"yaaI","yaaI","DUF2541 domain-containing protein YaaI","Function unknown","","P28696",11382,11786,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",1.190337193,1.317029395,0.5778183948768,"True",405
"14","b0014",6.28631292993718,15.1512977059309,1.1864225637165,10.269934423587,10.2301418447199,9.67751225519835,10.7575490236331,1.08003676843476,6.89203395178083,4.76793151259762,0.221197471110597,0,0.3051625376887,0.881260026027796,1.21699222971026,"dnaK","dnaK;groP;grpF;seg","chaperone protein DnaK","Post-translational modification, protein turnover,and chaperones","YbiH,RpoH,gcvB","P0A6Y8",12163,14079,"+","False","True","False","True","True","True","False","False","True",18277,7277,"True","True",9.5705792205,9.788785059,0.7524305394396,"True",1917
"15","b0015",5.47273551540907,11.1123813296813,0.953502429195782,8.25296676473013,8.21997665443799,7.67863201873528,8.75441799153596,1.07578597280068,6.89207902876964,3.82115639600777,0.338935650483038,0,0.0773419109467942,0.876160518248988,0.989171602968355,"dnaJ","dnaJ;groP","chaperone protein DnaJ","Post-translational modification, protein turnover,and chaperones","RpoH,ppGpp","P08622",14168,15298,"+","False","True","False","True","True","True","False","False","True",657.5,1141,"True","True",7.5775334575,7.786829787,0.688362708423599,"True",1131
"16","b0016",4.59100314922449,8.60710749334587,0.617673667501365,6.15454282863765,6.09110827150256,5.77303574052267,6.4943993394452,0.721363598922535,6.89375979936493,3.84754143043514,0.63198471188958,0,-0.298310419849627,0.915984087350992,0.613519272171934,"insL-1","insL1","IS186/IS421 transposase","Replication, recombination and repair","ppGpp","P0CF91",15445,16557,"+","False","False","False","False","False","False","False","False","False",NA,NA,"False","True",5.8941026905,5.661573368,0.505780227833999,"True",1113
"17","b0018",0,7.79223076520821,1.05073726650563,4.14748558806576,4.19975926422102,3.52342572440578,4.83857528388711,1.31514955948133,6.86338321189142,3.62920831007754,-0.366762306249019,0.00302724520686176,0.0443255653333865,1.00641170117224,0.956155257354948,"mokC","mokC;gefL","regulatory protein MokC","Function unknown","sokC","P33236",16751,16960,"-","False","False","False","False","True","False","False","True","False",NA,NA,"False","True",3.4992482705,3.724600236,0.9236288195904,"False",210
"18","b0019",3.87147707799936,10.2927167611879,0.73530149077597,6.44780730340934,6.34253070895989,6.01822339299663,6.74458793891453,0.726364545917902,6.89243753825682,7.15948109134802,1.22754314441159,0,-0.165894324196337,0.901195814972307,0.745935367825224,"nhaA","nhaA;ant","Na(+):H(+) antiporter NhaA","Inorganic ion transport and metabolism","RpoD,YdcI,RpoS,H-NS,ppGpp,NhaR","P13738",17489,18655,"+","False","False","True","True","True","False","False","False","False",NA,NA,"False","True",5.6964065955,5.930505067,0.655398405076799,"False",1167
"19","b0020",4.3449047794917,8.00503742751596,0.496172987106922,5.87282423544058,5.8192587320328,5.55141412752961,6.09459938726489,0.543185259735278,6.89522660649806,5.52960560246275,0.980798437614352,0,-0.436132118683985,0.932305105790907,0.475697573337576,"nhaR","nhaR;antO","DNA-binding transcriptional activator NhaR","Transcription","RpoD,RpoS,H-NS,NhaR,CsrA,YdeO","P0A9G2",18715,19620,"+","False","False","False","False","True","False","False","False","False",NA,NA,"False","True",5.8164771085,5.417989522,0.5379172907892,"False",906
"20","b0021",0,6.18340170799366,0.999593652333372,2.99843040477356,2.85032423846958,2.34123727805411,3.56709039300841,1.22585311495429,6.84220422777944,3.08081630595522,0.472522121839709,0.00403632694248234,0.0545833586372372,0.945010293696135,0.966413050658798,"insB-1","insB1","IS1 protein InsB","Replication, recombination and repair","","A0A385XJL4",19811,20314,"-","False","False","False","False","False","False","False","False","False",NA,NA,"False","True",1.6051210285,2.438475079,0.8442064446396,"True",504
"21","b0022",1.79470324355691,7.3785128758918,0.943103639931346,4.53677177758676,4.44241526325247,3.85538872892538,5.05761255040141,1.20222382147603,6.87736663870684,2.9944348737353,0.456678776299367,0,-0.0641340653464514,1.0072377052778,0.84769562667511,"insA-1","insA1","IS1 protein InsA","Replication, recombination and repair","ppGpp","A0A385XJ53",20233,20508,"-","False","False","False","False","False","False","False","False","False",NA,NA,"False","True",4.3406588295,3.981927598,0.9089769361344,"True",276
"22","b0023",7.31645712710655,15.9239789911017,1.10490161341137,11.9059898202097,12.0172255025311,11.1859910762803,12.608746316183,1.42275523990261,6.89433274586434,3.98317819424678,-0.398907504406353,0,0.209110388791494,0.89579122461988,1.12094008081305,"rpsT","rpsT","30S ribosomal subunit protein S20","Translation, ribosomal structure and biogenesis","ppGpp,DksA","P0A7U7",20815,21078,"-","False","True","False","True","True","True","False","False","True",18653,1597,"True","True",12.094109915,11.62066972,0.900879354479999,"True",264
"23","b0024",0,9.32401255363368,1.24771324875496,4.36261075981687,4.20925850281443,3.50469875500591,5.10561818325679,1.60091942825088,6.8572651903055,3.8318387418065,0.518969744380757,0.00302724520686176,0.237793875685384,1.00991937306958,1.14962356770694,"yaaY","yaaY","DUF2575 domain-containing protein YaaY","Function unknown","","P75620",21181,21399,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",3.3954527545,3.872473825,1.2497460226944,"True",219
"24","b0025",7.0195998211045,10.1971529565707,0.344149606613557,8.42155564436608,8.44072620365186,8.24169662686057,8.64037475918502,0.398678132324452,6.89787563094322,4.76857278454259,-0.320689273628794,0,-0.532038493421174,0.876188100034732,0.379791198600387,"ribF","ribF;yaaC","bifunctional riboflavin kinase/FMN adenylyltransferase","Coenzyme transport and metabolism","RpoD","P0AG40",21407,22348,"+","True","True","True","True","True","True","False","False","True",136,207,"True","True",8.1726282895,7.974349048,0.437382263367,"False",942
"25","b0026",7.14200941598117,10.7751659000488,0.434819901168524,9.04968921302828,9.10378012595557,8.83641265170808,9.32165796570597,0.485245313997886,6.89754833575013,4.25773660013065,-0.599802178100306,0,-0.44125814455754,0.876078045726064,0.470571547464021,"ileS","ileS;ilvS","isoleucine--tRNA ligase","Translation, ribosomal structure and biogenesis","RpoD,RpoH","P00956",22391,25207,"+","False","True","False","True","True","True","False","False","True",1652,2673,"True","True",8.937167416,8.630005282,0.449100785658,"False",2817
"26","b0027",6.51050358369854,10.6429269022025,0.490385242947266,8.08264028842268,8.09568186932992,7.84200844345074,8.37818216209636,0.536173718645623,6.89687965285523,5.34657730241292,0.253519228943389,0,-0.384448775762369,0.874834018709635,0.527380916259192,"lspA","lspA;lsp","lipoprotein signal peptidase","Cell wall/membrane/envelope biogenesis","RpoD,RpoH","P00804",25207,25701,"+","True","False","False","True","True","True","False","False","False",NA,NA,"False","True",7.637783303,7.638965224,0.466628809332002,"False",495
"27","b0028",5.52104224640423,10.466783230038,0.550370731066013,7.70051547652834,7.72284889323214,7.40810317560869,7.98911641062267,0.581013235013986,6.8961551894299,6.56894940524112,0.102830560607042,0,-0.320547119276344,0.870917850342357,0.591282572745217,"fkpB","fkpB;slpA;yaaD","peptidyl-prolyl cis-trans isomerase FkpB","Post-translational modification, protein turnover,and chaperones","RpoD,RpoH","P0AEM0",25826,26275,"+","False","False","False","False","True","True","False","False","True",1206.5,786,"True","True",7.3203095985,7.261527757,0.4862123437458,"False",450
"28","b0029",5.44330114888436,9.9879223432926,0.479308470365273,7.53302706543782,7.54402857904665,7.24594275563531,7.81609541516056,0.570152659525255,6.89669122192147,5.60117365802887,0.147139784627852,0,-0.391328313831053,0.870636784196326,0.520501378190508,"ispH","ispH;lytB;yaaE","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase","Lipid transport and metabolism","RpoD,RpoH","P62623",26277,27227,"+","True","True","True","True","True","True","False","False","True",141.5,352,"True","True",6.9374853695,7.130926322,0.4045327532904,"False",951
"29","b0030",1.82352817384854,9.27292105918783,1.20254250549694,4.9013049851436,4.7181693303587,4.13731491195303,5.39480995422367,1.25749504227064,6.86998188567639,4.2845917308669,0.972846318781194,0,0.209534143863499,0.993008361633441,1.12136383588506,"rihC","rihC;yaaF","ribonucleoside hydrolase RihC","Nucleotide transport and metabolism","","P22564",27293,28207,"+","False","False","True","True","True","True","False","False","False",211.5,NA,"True","True",4.4575947445,4.242850221,0.8996970936576,"False",915
"30","b0031",5.98777291084419,11.1146689180934,0.990527827776058,8.39424722946625,8.31174038131246,7.63130140047471,9.11617602027285,1.48487461979814,6.89179198295637,2.41132206687696,0.257662007283025,0,0.114284708713325,0.876243119062733,1.02611440073489,"dapB","dapB","4-hydroxy-tetrahydrodipicolinate reductase","Amino acid transport and metabolism","RpoD,ArgP,Nac","P04036",28374,29195,"+","True","False","True","True","True","True","False","False","True",1691.5,1929,"True","True",8.4498148065,7.827564917,1.1068466031756,"True",822
"31","b0032",2.58698912290443,13.2374291444756,1.99801688766574,8.11801014833965,8.56709367184267,6.79545401353823,9.68578792035432,2.8903339068161,6.86589069109015,2.65104386471155,-0.594493777901028,0,1.12283065815473,0.875186229511007,2.03466035017629,"carA","carA;pyrA","carbamoyl phosphate synthetase subunit alpha","Nucleotide transport and metabolism","RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA","P0A6F1",29651,30799,"+","False","False","True","True","True","True","False","False","True",4444.5,2154,"True","True",10.21556431,8.08412212,1.9417005312516,"True",1149
"32","b0033",2.40612082406429,12.74994397893,1.76808930838194,7.87326306796857,8.14058736579554,7.01831768519583,9.22825269366638,2.20993500847055,6.87145814634953,2.8918363556668,-0.669970553389853,0,0.895622403604518,0.872466904777419,1.80745209562608,"carB","carB;pyrA","carbamoyl phosphate synthetase subunit beta","Nucleotide transport and metabolism","RpoD,Fis,ArgR,PurR,PepA,RutR,IHF","P00968",30817,34038,"+","False","False","True","True","True","True","False","False","True",2238.5,2506,"True","True",9.865357505,7.6721168,1.59087797911972,"True",3222
"33","b0034",1.09745471795468,11.9012597948025,1.40550544295758,5.3439236704733,5.34611767191788,4.37874329353546,6.16136159715882,1.78261830362336,6.86439504710919,4.5034936394241,0.598235297710303,0,0.43414169760353,0.971363745354052,1.34597138962509,"caiF","caiF","DNA-binding transcriptional activator CaiF","Transcription","RpoD,YdcN,H-NS,Fnr,Crp,NarL,Nac","P0AE58",34300,34695,"+","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",5.7256982415,4.851363079,1.3137840490026,"True",396
"34","b0035",0,4.61999294200277,0.729644878996639,2.10000510508592,2.15630786330284,1.65626838425436,2.58482454549151,0.92855616123715,6.82935506343627,3.37673082350896,-0.220005767777711,0.0110998990918264,-0.145725806649469,0.875370685646107,0.766103885372092,"caiE","caiE","putative transferase CaiE","Function unknown","RpoD,H-NS,Fnr,ArcA,Crp,CaiF","P39206",34781,35371,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",2.270286447,1.77318343068631,0.726792083951917,"False",591
"35","b0036",0,4.85210632267828,0.673369433537484,1.5859334387433,1.54616704859337,1.15067013910388,2.01611775109495,0.865447611991075,6.80140690411681,3.57861122034712,0.344931071649545,0.012108980827447,-0.159770831427689,0.833140264965173,0.752058860593872,"caiD","caiD;yaaL","crotonobetainyl-CoA hydratase","Lipid transport and metabolism","RpoD,H-NS,Fnr,Crp,ArcA,CaiF","P31551",35377,36162,"-","False","False","True","True","True","True","False","False","False",NA,NA,"False","True",1.126332969,1.29909031762221,0.591361337088313,"False",786
"36","b0037",1.04921971143318,5.95953790871191,0.580762698519099,3.13363549697689,3.14943433469407,2.75569663561286,3.50648206677028,0.750785431157426,6.88136778918947,4.45707902348662,0.218308205815478,0,-0.373719603586482,0.95448230210558,0.538110088435079,"caiC","caiC;yaaM","carnitine-CoA ligase","Lipid transport and metabolism","RpoD,YbiH,H-NS,Fnr,Crp,ArcA,CaiF","P31552",36271,37824,"-","False","False","True","True","True","True","False","False","False",NA,NA,"False","True",3.0086073835,2.73416116196385,0.54921020749241,"False",1554
"37","b0038",1.45917724790061,5.46131333211147,0.58848514425119,3.26943541194522,3.21264423748178,2.85430039188849,3.60782020260907,0.753519810720581,6.88273488569682,3.23606350506534,0.481881864524131,0,-0.374421456006324,0.962906600257513,0.537408236015237,"caiB","caiB;yaaN","gamma-butyrobetainyl-CoA:carnitine CoA transferase","Energy production and conversion","RpoD,H-NS,Fnr,Crp,ArcA,CaiF","P31572",37898,39115,"-","False","False","True","True","True","True","False","False","False",NA,NA,"False","True",2.5269069305,2.850299283,0.5269157316192,"False",1218
"38","b0039",2.20359782442736,6.30273031536324,0.676515062892758,4.13217177219817,4.02126537228576,3.65630100817627,4.55147081162579,0.895169803449528,6.88551467500574,3.10028476458098,0.497550644424325,0,-0.329419060694932,1.00593412358769,0.582410631326629,"caiA","caiA;yaaO","crotonobetainyl-CoA reductase","Lipid transport and metabolism","RpoD,YfeC,H-NS,Fnr,Crp,ArcA,CaiF,spf","P60584",39244,40386,"-","False","False","False","False","True","True","False","False","False",NA,NA,"False","True",3.370784767,3.63314260336187,0.625996068449896,"False",1143
"39","b0040",0.150849700719992,3.3609424853883,0.43993368559189,1.29929265439868,1.28523825427782,1.00796953781208,1.55875401498276,0.550784477170679,6.84141618175323,4.347921123529,0.617264497190114,0,-0.367180091563125,0.807113777155015,0.544649600458436,"caiT","caiT;yaaP","L-carnitine:gamma-butyrobetaine antiporter","Cell wall/membrane/envelope biogenesis","RpoD,H-NS,Fnr,Crp,ArcA,CaiF","P31553",40417,41931,"-","False","False","True","True","True","True","False","False","False",NA,NA,"False","True",0.80062966,1.025212414,0.3950978175102,"False",1515
"40","b0041",0,4.9685353233241,0.583102601663968,1.54844872060205,1.54546058696697,1.18112547320324,1.89392461882047,0.712799145617236,6.82347753307632,5.99094690399302,0.577261100855343,0.00807265388496468,-0.246700822554263,0.829803424218231,0.665128869467298,"fixA","fixA;yaaQ","putative electron transfer flavoprotein FixA","Energy production and conversion","RpoD,Fnr,Crp,CaiF","P60566",42403,43173,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",1.5463373265,1.290715334,0.5357390637648,"False",771
"41","b0042",0,5.05260473093962,0.539754622116599,1.40682807488568,1.41616208860424,1.05883780015929,1.71991816458131,0.661080364422028,6.82274276585855,8.69730747823413,0.987550149877507,0.00908173562058527,-0.27724265101211,0.816997273128709,0.634587041009451,"fixB","fixB;yaaR","putative electron transfer flavoprotein FixB","Energy production and conversion","RpoD,YbaQ,Fnr,Crp,CaiF","P31574",43188,44129,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",1.159477227,1.12869365057784,0.490850169213698,"False",942
"42","b0043",0,4.60938292965482,0.505374706100657,1.42716380197882,1.41143339879373,1.10813129235741,1.67815631230334,0.57002501994593,6.8366839647109,7.62327255571637,1.08922792808408,0.00403632694248234,-0.313478217822062,0.81885292392272,0.598351474199499,"fixC","fixC;yaaS","putative oxidoreductase FixC","Energy production and conversion","RpoD,Fnr,Crp,CaiF","P68644",44180,45466,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",1.048258925,1.134635631,0.4344666029634,"False",1287
"43","b0044",0,4.28762316034246,0.744885339033211,1.27071556187588,1.29954417995189,0.817623926703487,1.75297345192575,0.935349525222263,6.67137853695067,3.02431507635166,0.0525739011903116,0.140262361251261,-0.0595859486853851,0.804471287718596,0.852243743336176,"fixX","fixX;yaaT","putative ferredoxin FixX","Energy production and conversion","","P68646",45463,45750,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",1.05645394691121,1.06522199711353,0.669998180136289,"True",288
"44","b0045",0,4.2051164477218,0.476632123126854,1.22511193896797,1.17063131181741,0.907351460083865,1.4883937457194,0.581042285635532,6.82424481298639,6.43516975166294,1.06004011627799,0.00504540867810293,-0.323612423374119,0.800244546500973,0.588217268647442,"yaaU","yaaU;yabE","putative transporter YaaU","Inorganic ion transport and metabolism","RpoN,ArgR","P31679",45807,47138,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",0.5528232255,0.935427199,0.393786827896763,"False",1332
"45","b0046",1.95490537292342,7.59875166771738,0.770920817442506,4.6957209676231,4.79873878699945,4.23677934207139,5.19552593367019,0.958746591598798,6.88471035712755,3.69117818114085,-0.386961035276052,0,-0.230199189748426,1.00112000719093,0.681630502273135,"kefF","kefF;yabF","regulator of KefC-mediated potassium transport and quinone oxidoreductase","Energy production and conversion","","P0A754",47246,47776,"+","False","False","True","False","True","True","False","False","False",NA,NA,"False","True",4.842012191,4.39125118780757,0.8110521093231,"False",531
"46","b0047",2.26384956402887,6.88270510204122,0.583944173827753,4.47443483170832,4.46769108390186,4.14849861286752,4.84007158635967,0.691572973492149,6.89005293333197,3.88504495780567,-0.14534048078959,0,-0.424916048689125,1.00886022251688,0.486913643332436,"kefC","kefC;trkC","K(+) : H(+) antiporter KefC","Inorganic ion transport and metabolism","YfeD","P03819",47769,49631,"+","False","False","True","True","True","True","False","False","False",3.5,NA,"True","True",4.497581779,4.044100623,0.603435028932227,"False",1863
"47","b0048",4.80456014783018,9.13997348923321,0.73071596446691,6.87766583419054,6.89444857844519,6.40777650791152,7.32565545670552,0.917878948794001,6.89304418062058,3.34174127042498,0.0177557461712859,0,-0.153758863693022,0.884474828159932,0.758070828328539,"folA","folA;tmrA","dihydrofolate reductase","Coenzyme transport and metabolism","RpoD,IHF,TyrR,ppGpp","P0ABQ4",49823,50302,"+","True","False","True","True","True","True","False","False","True",238,246,"True","True",6.7339129395,6.533976666,0.560736429204002,"False",480
"48","b0049",4.46319940515574,8.11066093646945,0.545279480098041,6.15854950213849,6.14408430929088,5.79299030068759,6.50454875920264,0.711558458515047,6.89480100276294,3.31287534984414,0.164451356310683,0,-0.370496697285062,0.915776177383103,0.541332994736499,"apaH","apaH","diadenosine tetraphosphatase","Signal transduction mechanisms","RpoE,Fis","P05637",50380,51222,"-","False","False","True","True","True","True","False","False","False",41.5,NA,"True","True",6.3336883645,5.716052741,0.576566230947,"False",843
"49","b0050",6.22865977768708,10.0012314961637,0.579045445745305,7.67083694463346,7.58765366565224,7.25971860122656,8.01593521179642,0.756216610569856,6.89590078887504,3.22646233663603,0.569043237005819,0,-0.29171192481034,0.870757370555644,0.620117767211221,"apaG","apaG","DUF525 domain-containing protein ApaG","Inorganic ion transport and metabolism","RpoE,Fis","P62672",51229,51606,"-","False","False","False","False","True","True","False","True","False",17,NA,"True","True",6.9454841365,7.160799502,0.604590865982304,"False",378
"50","b0051",5.93250980051926,9.57690348779217,0.537099500523916,7.84508141249782,7.85537098919804,7.50943104010584,8.1399553213608,0.630524281254965,6.89636935105254,3.82012487071034,0.0580688189270313,0,-0.335062814418615,0.872162314942532,0.576766877602946,"rsmA","rsmA;ksgA","16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase","Translation, ribosomal structure and biogenesis","RpoE,Fis","P06992",51609,52430,"-","False","True","False","True","True","True","False","False","True",136,221,"True","True",7.7205442575,7.40548956689645,0.487516090141284,"False",822
"51","b0052",4.64950540967993,8.72397124740669,0.539078374583851,7.09776049448487,7.08801129317348,6.7844613898962,7.43485730465767,0.650395914761472,6.89579044623107,4.68093576026393,-0.38940592038809,0,-0.340068634849474,0.879147009433325,0.571761057172087,"pdxA","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase","Coenzyme transport and metabolism","RpoE,Fis,GlaR","P19624",52427,53416,"-","False","True","True","True","True","True","False","False","True",156,123,"True","True",7.4762047835,6.661087816,0.468136411898398,"False",990
"52","b0053",6.83917606936894,9.70892086565977,0.343193935909919,8.70362490775759,8.70890822544413,8.54227391498067,8.90494840959656,0.362674494615892,6.89792550641035,7.59536253474557,-1.05322596796391,0,-0.532677455362493,0.875871391272412,0.379152236659068,"surA","surA","peptidyl-prolyl cis-trans isomerase SurA","Post-translational modification, protein turnover,and chaperones","RpoE","P0ABZ6",53416,54702,"-","False","False","False","True","True","True","False","False","True",1188,1030,"True","True",8.6814523625,8.262809092,0.258158396617803,"False",1287
"53","b0054",7.29364236068771,10.0729571992031,0.322429132982532,8.84935706491138,8.85905020671831,8.69865818987281,9.03250258941111,0.3338443995383,6.89804675941408,5.78212536536432,-0.472002306264729,0,-0.55345209981508,0.875881232797612,0.358377592206481,"lptD","lptD;imp;ostA;yabG","lipopolysaccharide assembly protein LptD","Cell wall/membrane/envelope biogenesis","RpoD,YcjW,RpoE","P31554",54755,57109,"-","True","False","True","False","True","True","False","False","True",373,1028,"True","True",8.5753894925,8.455359385,0.3249302987784,"False",2355
"54","b0055",4.76538956228273,7.36964260026773,0.402583463043801,6.04828936648352,6.0087886809825,5.80540144439106,6.25361663209185,0.448215187700796,6.89651634484984,3.55061806350243,0.416249453284003,0,-0.519104476564942,0.921687939608744,0.392725215456619,"djlA","djlA;yabH","co-chaperone protein DjlA","Post-translational modification, protein turnover,and chaperones","","P31680",57364,58179,"+","False","False","False","False","True","True","False","False","True",26.5,161,"True","True",5.764138332,5.59722025,0.3812142307176,"False",816
"55","b0056",4.13763895440185,8.03355316846861,0.599491150892058,6.29652251429247,6.34933959558401,5.88545097292964,6.70345276121329,0.818001788283658,6.89413289857318,3.36783698357916,-0.204253817104994,0,-0.309307572398634,0.908798723290692,0.602522119622927,"yabP","","putative uncharacterized protein YabP","Function unknown","","UPI000013A00F",58474,59124,"+","False","False","False","False","False","False","False","True","False",NA,NA,"False","True",5.412594026,5.887044773,0.631508266074002,"False",651
